"","time","value"
"225",2013-03-01 13:09:53,1504.75
"226",2013-03-01 13:11:00,1504.5
"227",2013-03-01 13:20:00,1505
"228",2013-03-01 13:21:00,1504.5
"229",2013-03-01 13:30:00,1504.25
"230",2013-03-01 13:40:00,1504.75
"231",2013-03-01 13:41:00,1505
"232",2013-03-01 13:49:52,1506
"233",2013-03-01 13:50:00,1506.25
"234",2013-03-01 13:51:00,1506
"235",2013-03-01 13:59:56,1507
"236",2013-03-01 14:00:00,1506.75
"237",2013-03-01 14:09:00,1505.75
"238",2013-03-01 14:09:57,1505.75
"239",2013-03-01 14:10:00,1505.5
"240",2013-03-01 14:19:00,1505.25
"241",2013-03-01 14:20:00,1506
"242",2013-03-01 14:28:00,1506.75
"243",2013-03-01 14:29:57,1506.5
"244",2013-03-01 14:30:00,1506.25
"245",2013-03-01 14:38:00,1501.75
"246",2013-03-01 14:39:57,1501.25
"247",2013-03-01 14:40:00,1500.75
"248",2013-03-01 14:48:00,1503.75
"249",2013-03-01 14:49:57,1503.75
"250",2013-03-01 14:59:57,1504.5
"251",2013-03-01 15:00:00,1506.75
"252",2013-03-01 15:01:00,1507.5
"253",2013-03-01 15:09:57,1509.5
"254",2013-03-01 15:10:00,1509.5
"255",2013-03-01 15:11:00,1508.75
"256",2013-03-01 15:19:58,1507.25
"257",2013-03-01 15:20:00,1507.25
"258",2013-03-01 15:21:00,1505.75
"259",2013-03-01 15:29:58,1509.5
"260",2013-03-01 15:30:00,1509.5
"261",2013-03-01 15:31:00,1510.75
"262",2013-03-01 15:39:58,1511.25
"263",2013-03-01 15:40:00,1511.25
"264",2013-03-01 15:49:58,1512
"265",2013-03-01 15:50:00,1512
"266",2013-03-01 15:51:00,1512.25
"267",2013-03-01 15:59:58,1515.5
"268",2013-03-01 16:00:00,1515.75
"269",2013-03-01 16:01:00,1517
"270",2013-03-01 16:09:56,1515.75
"271",2013-03-01 16:10:00,1516
"272",2013-03-01 16:19:58,1513.5
"273",2013-03-01 16:20:00,1513.25
"274",2013-03-01 16:29:58,1512.75
"275",2013-03-01 16:30:00,1512.75
"276",2013-03-01 16:39:58,1512.25
"277",2013-03-01 16:40:00,1512
"278",2013-03-01 16:41:00,1510.5
"279",2013-03-01 16:49:58,1509.5
"280",2013-03-01 16:50:00,1510
"281",2013-03-01 16:51:00,1510.75
"282",2013-03-01 16:59:57,1512
"283",2013-03-01 17:00:00,1512
"284",2013-03-01 17:09:59,1514.75
"285",2013-03-01 17:10:00,1514.75
"286",2013-03-01 17:11:00,1515.25
"287",2013-03-01 17:19:59,1516.5
"288",2013-03-01 17:20:00,1517
"289",2013-03-01 17:21:00,1516.25
"290",2013-03-01 17:29:59,1516.5
"291",2013-03-01 17:30:00,1516.5
"292",2013-03-01 17:31:00,1517.25
"293",2013-03-01 17:39:59,1517.5
"294",2013-03-01 17:40:00,1517.25
"295",2013-03-01 17:49:54,1516.5
"296",2013-03-01 17:50:00,1516.75
"297",2013-03-01 17:59:59,1518
